EventId,RankOrder,Class
225000,1,b
225001,2,b
225002,3,b
225003,4,b
225004,5,b
225005,6,b
225006,7,b
225007,8,b
225008,9,b
225009,10,b
225010,11,b
225011,12,b
225012,13,b
225013,14,b
225014,15,b
225015,16,b
225016,17,b
225017,18,b
225018,19,b
225019,20,b
225020,21,b
225021,22,b
225022,23,b
225023,24,b
225024,25,b
225025,26,b
225026,27,b
225027,28,b
225028,29,b
225029,30,b
225030,31,b
225031,32,b
225032,33,b
225033,34,b
225034,35,b
225035,36,b
225036,37,b
225037,38,b
225038,39,b
225039,40,b
225040,41,b
225041,42,b
225042,43,b
225043,44,b
225044,45,b
225045,46,b
225046,47,b
225047,48,b
225048,49,b
225049,50,b
225050,51,b
225051,52,b
225052,53,b
225053,54,b
225054,55,b
225055,56,b
225056,57,b
225057,58,b
225058,59,b
225059,60,b
225060,61,b
225061,62,b
225062,63,b
225063,64,b
225064,65,b
225065,66,b
225066,67,b
225067,68,b
225068,69,b
225069,70,b
225070,71,b
225071,72,b
225072,73,b
225073,74,b
225074,75,b
225075,76,b
225076,77,b
225077,78,b
225078,79,b
225079,80,b
225080,81,b
225081,82,b
225082,83,b
225083,84,b
225084,85,b
225085,86,b
225086,87,b
225087,88,b
225088,89,b
225089,90,b
225090,91,b
225091,92,b
225092,93,b
225093,94,b
225094,95,b
225095,96,b
225096,97,b
225097,98,b
225098,99,b
225099,100,b
225100,101,b
225101,102,b
225102,103,b
225103,104,b
225104,105,b
225105,106,b
225106,107,b
225107,108,b
225108,109,b
225109,110,b
225110,111,b
225111,112,b
225112,113,b
225113,114,b
225114,115,b
225115,116,b
225116,117,b
225117,118,b
225118,119,b
225119,120,b
225120,121,b
225121,122,b
225122,123,b
225123,124,b
225124,125,b
225125,126,b
225126,127,b
225127,128,b
225128,129,b
225129,130,b
225130,131,b
225131,132,b
225132,133,b
225133,134,b
225134,135,b
225135,136,b
225136,137,b
225137,138,b
225138,139,b
225139,140,b
225140,141,b
225141,142,b
225142,143,b
225143,144,b
225144,145,b
225145,146,b
225146,147,b
225147,148,b
225148,149,b
225149,150,b
225150,151,b
225151,152,b
225152,153,b
225153,154,b
225154,155,b
225155,156,b
225156,157,b
225157,158,b
225158,159,b
225159,160,b
225160,161,b
225161,162,b
225162,163,b
225163,164,b
225164,165,b
225165,166,b
225166,167,b
225167,168,b
225168,169,b
225169,170,b
225170,171,b
225171,172,b
225172,173,b
225173,174,b
225174,175,b
225175,176,b
225176,177,b
225177,178,b
225178,179,b
225179,180,b
225180,181,b
225181,182,b
225182,183,b
225183,184,b
225184,185,b
225185,186,b
225186,187,b
225187,188,b
225188,189,b
225189,190,b
225190,191,b
