EventId,RankOrder,Class
225000,0,s
225003,1,s
225004,2,s
225005,3,b
225006,4,s
225007,5,s
225013,6,s
225014,7,s
225015,8,s
225016,9,s
225018,10,s
225021,11,s
225022,12,s
225026,13,b
225029,14,s
225031,15,b
225032,16,s
225034,17,s
225037,18,s
225039,19,b
225041,20,s
225042,21,s
225049,22,s
225051,23,s
225052,24,s
225054,25,s
225055,26,b
225065,27,b
225066,28,s
225068,29,s
225071,30,s
225073,31,s
225074,32,s
225075,33,s
225078,34,s
225088,35,b
225090,36,s
225091,37,b
225092,38,s
225093,39,b
225094,40,s
225096,41,s
225097,42,s
225098,43,b
225099,44,s
225102,45,s
225104,46,b
225106,47,s
225107,48,s
225112,49,s
225115,50,s
225116,51,s
225117,52,b
225118,53,s
225120,54,s
225121,55,b
225125,56,s
225131,57,s
225133,58,b
225137,59,s
225139,60,s
225140,61,b
225146,62,s
225147,63,s
225150,64,b
225151,65,s
225153,66,s
225157,67,s
225160,68,s
225162,69,s
225163,70,s
225164,71,s
225165,72,s
225166,73,s
225167,74,s
225168,75,b
225174,76,s
225176,77,s
225177,78,b
225178,79,s
225179,80,s
225180,81,b
225181,82,s
225182,83,s
225184,84,s
225186,85,s
225191,86,b
225192,87,s
225193,88,s
225194,89,s
225195,90,b
225197,91,s
225198,92,s
225199,93,s
225201,94,s
225202,95,s
225204,96,s
225205,97,s
225206,98,s
225208,99,s
225211,100,s
225213,101,s
225214,102,b
225215,103,s
225216,104,s
225217,105,s
225222,106,b
225227,107,s
225228,108,s
225232,109,s
225233,110,s
225238,111,s
225239,112,s
225241,113,b
225245,114,b
225250,115,s
225251,116,s
225253,117,s
225254,118,s
225255,119,b
225260,120,s
225261,121,s
225266,122,s
225267,123,s
225268,124,b
225273,125,s
225275,126,s
225277,127,s
225279,128,s
225282,129,s
225283,130,s
225284,131,s
225294,132,b
225296,133,s
225299,134,s
225300,135,s
225301,136,s
225302,137,s
225310,138,b
225311,139,s
225312,140,s
225314,141,s
225324,142,s
225326,143,s
225331,144,s
225332,145,s
225335,146,s
225336,147,b
225337,148,s
225340,149,s
225342,150,s
225345,151,s
225347,152,s
225349,153,s
225350,154,s
225354,155,s
225355,156,b
225356,157,b
225357,158,s
225358,159,s
225360,160,s
225361,161,s
225365,162,b
225372,163,s
225373,164,s
225374,165,s
225375,166,s
225376,167,b
225378,168,s
225379,169,s
225380,170,s
225381,171,s
225384,172,s
225386,173,s
225387,174,s
225388,175,s
225390,176,s
225392,177,b
225395,178,s
225396,179,b
225400,180,s
225401,181,b
225402,182,b
225404,183,s
225405,184,b
225407,185,b
225409,186,s
225414,187,s
225416,188,s
225417,189,s
225421,190,s
225422,191,s
225431,192,s
225434,193,s
225435,194,s
225438,195,b
225439,196,s
225440,197,b
225444,198,b
225445,199,s
225450,200,s
225452,201,b
225454,202,s
225456,203,s
225457,204,s
225460,205,s
225463,206,s
225465,207,s
225472,208,s
225474,209,s
225475,210,s
225476,211,s
225477,212,s
225480,213,b
225488,214,s
225489,215,b
225493,216,s
225494,217,b
225501,218,s
225502,219,s
225506,220,b
225507,221,s
225509,222,s
225518,223,s
225519,224,s
225521,225,b
225528,226,b
225529,227,s
225531,228,b
225534,229,s
225535,230,s
225538,231,b
225539,232,s
225541,233,s
225542,234,s
225546,235,s
225548,236,s
225549,237,s
225550,238,b
225552,239,s
225554,240,s
225555,241,s
225557,242,s
225559,243,s
225562,244,s
225564,245,s
225565,246,b
225566,247,b
225567,248,b
225569,249,b
225570,250,s
225572,251,s
225573,252,s
225576,253,s
225577,254,s
225579,255,s
225583,256,s
225584,257,s
225585,258,b
225586,259,s
225588,260,s
225590,261,s
225593,262,b
225594,263,s
225595,264,s
225598,265,s
225599,266,s
225600,267,s
225602,268,b
225603,269,b
225605,270,s
225606,271,s
225609,272,s
225610,273,s
225611,274,s
225612,275,s
225614,276,b
225616,277,s
225617,278,s
225619,279,b
225620,280,s
225626,281,s
225631,282,b
225634,283,b
225637,284,s
225638,285,s
225639,286,s
225640,287,s
225641,288,b
225643,289,s
225646,290,b
225648,291,s
225649,292,s
225650,293,s
225655,294,b
225656,295,b
225657,296,s
225658,297,s
225661,298,s
225664,299,s
225665,300,s
225666,301,s
225668,302,s
225669,303,s
225670,304,s
225671,305,s
225672,306,s
225674,307,b
225675,308,s
225677,309,s
225684,310,s
225687,311,s
225688,312,s
